transaction_id,customer_id,transaction_ts,amount,currency,merchant,category,payment_method,status
T0000001,C0164,2024-04-14 19:51:22,860.03,USD,StreamFlix,RENT,ACH,APPROVED
T0000002,C0023,2025-06-01 21:55:07,36.64,USD,Acme Mart,SUBSCRIPTION,CARD,APPROVED
T0000003,C0007,2025-08-26 10:07:43,37.84,USD,PowerGrid,FUEL,CASH,APPROVED
T0000004,C0208,2024-06-08 07:50:21,190.91,USD,CityRentals,GROCERY,CASH,APPROVED
T0000005,C0246,2024-12-18 21:58:51,162.29,USD,DineTime,HEALTHCARE,CARD,APPROVED
T0000006,C0068,2025-01-22 02:52:08,183.78,USD,PowerGrid,GROCERY,CARD,PENDING
T0000007,C0142,2025-12-22 02:31:56,166.73,USD,MetroWater,DINING,WIRE,APPROVED
T0000008,C0012,2025-01-24 10:07:14,2330.55,USD,SkyTravel,TRAVEL,ACH,APPROVED
T0000009,C0117,2025-12-19 23:35:39,252.35,USD,FuelGo,HEALTHCARE,ACH,APPROVED
T0000010,C0019,2025-01-23 09:49:42,52.62,USD,PowerGrid,SUBSCRIPTION,ACH,APPROVED
T0000011,C0237,2024-02-02 11:29:07,40.75,USD,FuelGo,FUEL,CARD,APPROVED
T0000012,C0103,2025-05-26 14:24:16,17.91,USD,MetroWater,DINING,WIRE,APPROVED
T0000013,C0227,2025-07-05 09:33:58,175.73,USD,CityRentals,ONLINE_SHOPPING,ACH,APPROVED
T0000014,C0192,2024-05-21 18:33:04,37.13,USD,MetroWater,SUBSCRIPTION,CASH,APPROVED
T0000015,C0127,2025-11-27 15:22:13,2613.88,USD,SkyTravel,RENT,ACH,APPROVED
T0000016,C0153,2025-07-20 00:25:04,1723.44,USD,MetroWater,RENT,CASH,APPROVED
T0000017,C0175,2024-12-14 04:03:41,2436.1,USD,PowerGrid,RENT,WIRE,APPROVED
T0000018,C0076,2024-07-01 18:29:02,51.66,USD,Acme Mart,ENTERTAINMENT,WIRE,PENDING
T0000019,C0234,2024-06-05 13:36:49,2889.24,USD,StreamFlix,RENT,MOBILE_WALLET,APPROVED
T0000020,C0196,2025-05-15 00:42:32,224.96,USD,PowerGrid,UTILITIES,CARD,APPROVED
T0000021,C0029,2025-08-03 02:52:02,1319.3,USD,StreamFlix,HEALTHCARE,ACH,APPROVED
T0000022,C0022,2025-05-01 20:01:03,980.15,USD,PowerGrid,ONLINE_SHOPPING,ACH,APPROVED
T0000023,C0043,2025-07-06 07:19:25,107.9,USD,MetroWater,DINING,CASH,PENDING
T0000024,C0183,2025-04-07 04:24:20,82.8,USD,FuelGo,DINING,CASH,DECLINED
